Studiekode,Studienavn,Lærested,Studiested,Utdanningsområde og -type,Kvote,Opptaksrunde,År,Poenggrense
184 366,Filosofi,UIB,Bergen,HISTORIE,ORD,Hovedopptak,2021,46.3
184 366,Filosofi,UIB,Bergen,HISTORIE,ORDF,Hovedopptak,2021,38.9
184 367,"Sosialantropologi, årsstudium",UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,51.8
184 367,"Sosialantropologi, årsstudium",UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,47.2
184 369,"Samfunnsøkonomi, bachelor",UIB,Bergen,ØKADM,ORD,Hovedopptak,2021,49.7
184 369,"Samfunnsøkonomi, bachelor",UIB,Bergen,ØKADM,ORDF,Hovedopptak,2021,47.2
184 395,Informatikk: bioinformatikk,UIB,Bergen,INFOTEKN,ORD,Hovedopptak,2021,55.6
184 395,Informatikk: bioinformatikk,UIB,Bergen,INFOTEKN,ORDF,Hovedopptak,2021,45
184 430,Medie- og interaksjonsdesign,UIB,Bergen,MEDIEFAG,ORD,Hovedopptak,2021,53.8
184 430,Medie- og interaksjonsdesign,UIB,Bergen,MEDIEFAG,ORDF,Hovedopptak,2021,47.7
184 437,Musikkvitenskap,UIB,Bergen,ESTETISK,ORD,Hovedopptak,2021,45.3
184 437,Musikkvitenskap,UIB,Bergen,ESTETISK,ORDF,Hovedopptak,2021,43.2
184 438,"Geografi, bachelor",UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,44
184 438,"Geografi, bachelor",UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,39.1
184 453,"Informasjonsvitenskap, bachelor",UIB,Bergen,INFOTEKN,ORD,Hovedopptak,2021,51
184 453,"Informasjonsvitenskap, bachelor",UIB,Bergen,INFOTEKN,ORDF,Hovedopptak,2021,41.3
184 454,Journalistikk,UIB,Bergen,MEDIEFAG,ORD,Hovedopptak,2021,56.9
184 454,Journalistikk,UIB,Bergen,MEDIEFAG,ORDF,Hovedopptak,2021,53.6
184 455,Klassisk filologi,UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 455,Klassisk filologi,UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 472,Digital kultur,UIB,Bergen,ESTETISK,ORD,Hovedopptak,2021,0
184 472,Digital kultur,UIB,Bergen,ESTETISK,ORDF,Hovedopptak,2021,0
184 475,"Kunsthistorie, bachelor",UIB,Bergen,ESTETISK,ORD,Hovedopptak,2021,0
184 475,"Kunsthistorie, bachelor",UIB,Bergen,ESTETISK,ORDF,Hovedopptak,2021,0
184 478,Arkeologi,UIB,Bergen,HISTORIE,ORD,Hovedopptak,2021,0
184 478,Arkeologi,UIB,Bergen,HISTORIE,ORDF,Hovedopptak,2021,0
184 479,Filosofi ,UIB,Bergen,HISTORIE,ORD,Hovedopptak,2021,0
184 479,Filosofi ,UIB,Bergen,HISTORIE,ORDF,Hovedopptak,2021,0
184 481,"Historie, bachelor",UIB,Bergen,HISTORIE,ORD,Hovedopptak,2021,0
184 481,"Historie, bachelor",UIB,Bergen,HISTORIE,ORDF,Hovedopptak,2021,0
184 534,Tv-produksjon,UIB,Bergen,MEDIEFAG,ORD,Hovedopptak,2021,57.3
184 534,Tv-produksjon,UIB,Bergen,MEDIEFAG,ORDF,Hovedopptak,2021,51.1
184 540,Aktuarfag og dataanalyse,UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,0
184 540,Aktuarfag og dataanalyse,UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,0
184 555,Matematikk for industri og teknologi,UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,0
184 555,Matematikk for industri og teknologi,UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,0
184 565,Italiensk,UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 565,Italiensk,UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 580,"Lektor, 8.-13. trinn, religionsvitenskap",UIB,Bergen,LÆRER - LEKTOR 8-13,ORD,Hovedopptak,2021,0
184 580,"Lektor, 8.-13. trinn, religionsvitenskap",UIB,Bergen,LÆRER - LEKTOR 8-13,ORDF,Hovedopptak,2021,0
184 582,Japansk,UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,48
184 582,Japansk,UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,35.5
184 592,Kinesisk,UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 592,Kinesisk,UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 663,"Medier og kommunikasjon, årsstudium",UIB,Bergen,MEDIEFAG,ORD,Hovedopptak,2021,53.3
184 663,"Medier og kommunikasjon, årsstudium",UIB,Bergen,MEDIEFAG,ORDF,Hovedopptak,2021,46.5
184 670,Naturvitenskapelige fag,UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,0
184 670,Naturvitenskapelige fag,UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,0
184 684,"Lektor, 8.-13. trinn, historie",UIB,Bergen,LÆRER - LEKTOR 8-13,ORD,Hovedopptak,2021,50.5
184 684,"Lektor, 8.-13. trinn, historie",UIB,Bergen,LÆRER - LEKTOR 8-13,ORDF,Hovedopptak,2021,48.6
184 686,"Lektor, 8.-13. trinn, fransk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORD,Hovedopptak,2021,0
184 686,"Lektor, 8.-13. trinn, fransk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORDF,Hovedopptak,2021,0
184 689,"Lektor, 8.-13. trinn, tysk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORD,Hovedopptak,2021,0
184 689,"Lektor, 8.-13. trinn, tysk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORDF,Hovedopptak,2021,0
184 692,Teatervitenskap,UIB,Bergen,ESTETISK,ORD,Hovedopptak,2021,0
184 692,Teatervitenskap,UIB,Bergen,ESTETISK,ORDF,Hovedopptak,2021,0
184 698,"Samfunnsøkonomi, master",UIB,Bergen,ØKADM,ORD,Hovedopptak,2021,53.3
184 698,"Samfunnsøkonomi, master",UIB,Bergen,ØKADM,ORDF,Hovedopptak,2021,49.8
184 707,Farmasi,UIB,Bergen,HELSEFAG - FARMASI,ORD,Hovedopptak,2021,58.6
184 707,Farmasi,UIB,Bergen,HELSEFAG - FARMASI,ORDF,Hovedopptak,2021,53
