Lærested,Lærestedsnavn ,Studiekode,Studienavn,Studiested,Utdanningsområde- og type,Kvote,År,Opptaksfase,Poenggrense,Poenggrense + venteliste,Antall på venteliste,Antall studier per kvote i år
HVL,Høgskulen på Vestlandet,203 072,"Ingeniør, elkraftteknikk, Førde",Sunnfjord,TEKNO - INGENIØR,ORDF,2020,Hovedopptak,Avlyst,Avlyst (0),0,1272
HVL,Høgskulen på Vestlandet,203 072,"Ingeniør, elkraftteknikk, Førde",Sunnfjord,TEKNO - INGENIØR,ORDF,2020,Suppleringsopptak,Avlyst,Avlyst (0),0,1272
HVL,Høgskulen på Vestlandet,203 072,"Ingeniør, elkraftteknikk, Førde",Sunnfjord,TEKNO - INGENIØR,FOR,2019,Hovedopptak,Avlyst,Avlyst (0),0,100
HVL,Høgskulen på Vestlandet,203 072,"Ingeniør, elkraftteknikk, Førde",Sunnfjord,TEKNO - INGENIØR,FOR,2019,Suppleringsopptak,Avlyst,Avlyst (0),0,100
HVL,Høgskulen på Vestlandet,203 072,"Ingeniør, elkraftteknikk, Førde",Sunnfjord,TEKNO - INGENIØR,FOR,2020,Hovedopptak,Avlyst,Avlyst (0),0,100
HVL,Høgskulen på Vestlandet,203 072,"Ingeniør, elkraftteknikk, Førde",Sunnfjord,TEKNO - INGENIØR,FOR,2020,Suppleringsopptak,Avlyst,Avlyst (0),0,100
HVL,Høgskulen på Vestlandet,203 080,"Sosialt arbeid, Bergen",Bergen,HELSEFAG - SOSIONOM,ORD,2019,Hovedopptak,53.1,53.1 (766),766,1303
HVL,Høgskulen på Vestlandet,203 080,"Sosialt arbeid, Bergen",Bergen,HELSEFAG - SOSIONOM,ORD,2019,Suppleringsopptak,53.0,53.0 (455),455,1303
HVL,Høgskulen på Vestlandet,203 080,"Sosialt arbeid, Bergen",Bergen,HELSEFAG - SOSIONOM,ORD,2020,Hovedopptak,53.6,53.6 (1003),1003,1303
HVL,Høgskulen på Vestlandet,203 080,"Sosialt arbeid, Bergen",Bergen,HELSEFAG - SOSIONOM,ORD,2020,Suppleringsopptak,53.5,53.5 (546),546,1303
HVL,Høgskulen på Vestlandet,203 080,"Sosialt arbeid, Bergen",Bergen,HELSEFAG - SOSIONOM,ORDF,2019,Hovedopptak,47.1,47.1 (370),370,1272
HVL,Høgskulen på Vestlandet,203 080,"Sosialt arbeid, Bergen",Bergen,HELSEFAG - SOSIONOM,ORDF,2019,Suppleringsopptak,46.7,46.7 (214),214,1272
HVL,Høgskulen på Vestlandet,203 080,"Sosialt arbeid, Bergen",Bergen,HELSEFAG - SOSIONOM,ORDF,2020,Hovedopptak,49.0,49.0 (545),545,1272
HVL,Høgskulen på Vestlandet,203 080,"Sosialt arbeid, Bergen",Bergen,HELSEFAG - SOSIONOM,ORDF,2020,Suppleringsopptak,49.0,49.0 (279),279,1272
HVL,Høgskulen på Vestlandet,203 081,"Sosialt arbeid, Sogndal",Sogndal,HELSEFAG - SOSIONOM,ORD,2019,Hovedopptak,45.2,45.2 (312),312,1303
HVL,Høgskulen på Vestlandet,203 081,"Sosialt arbeid, Sogndal",Sogndal,HELSEFAG - SOSIONOM,ORD,2019,Suppleringsopptak,45.2,45.2 (183),183,1303
HVL,Høgskulen på Vestlandet,203 081,"Sosialt arbeid, Sogndal",Sogndal,HELSEFAG - SOSIONOM,ORD,2020,Hovedopptak,47.6,47.6 (403),403,1303
HVL,Høgskulen på Vestlandet,203 081,"Sosialt arbeid, Sogndal",Sogndal,HELSEFAG - SOSIONOM,ORD,2020,Suppleringsopptak,47.6,47.6 (233),233,1303
HVL,Høgskulen på Vestlandet,203 081,"Sosialt arbeid, Sogndal",Sogndal,HELSEFAG - SOSIONOM,ORDF,2019,Hovedopptak,39.6,39.6 (132),132,1272
HVL,Høgskulen på Vestlandet,203 081,"Sosialt arbeid, Sogndal",Sogndal,HELSEFAG - SOSIONOM,ORDF,2019,Suppleringsopptak,39.6,39.6 (71),71,1272
HVL,Høgskulen på Vestlandet,203 081,"Sosialt arbeid, Sogndal",Sogndal,HELSEFAG - SOSIONOM,ORDF,2020,Hovedopptak,42.0,42.0 (179),179,1272
HVL,Høgskulen på Vestlandet,203 081,"Sosialt arbeid, Sogndal",Sogndal,HELSEFAG - SOSIONOM,ORDF,2020,Suppleringsopptak,42.0,42.0 (105),105,1272
HVL,Høgskulen på Vestlandet,203 083,"Grunnskolelærer, 5.-10. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL5-10,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 083,"Grunnskolelærer, 5.-10. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL5-10,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 083,"Grunnskolelærer, 5.-10. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL5-10,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 083,"Grunnskolelærer, 5.-10. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL5-10,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 083,"Grunnskolelærer, 5.-10. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL5-10,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 083,"Grunnskolelærer, 5.-10. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL5-10,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 083,"Grunnskolelærer, 5.-10. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL5-10,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 083,"Grunnskolelærer, 5.-10. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL5-10,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 084,"Grunnskolelærer, 1.-7. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL1-7,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 084,"Grunnskolelærer, 1.-7. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL1-7,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 084,"Grunnskolelærer, 1.-7. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL1-7,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 084,"Grunnskolelærer, 1.-7. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL1-7,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 084,"Grunnskolelærer, 1.-7. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL1-7,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 084,"Grunnskolelærer, 1.-7. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL1-7,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 084,"Grunnskolelærer, 1.-7. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL1-7,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 084,"Grunnskolelærer, 1.-7. trinn, samfunnsfag, Stord",Stord,LÆRER - GRL1-7,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 090,"Ingeniør, automatisering med robotikk, Haugesund",Haugesund,TEKNO - INGENIØR,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 090,"Ingeniør, automatisering med robotikk, Haugesund",Haugesund,TEKNO - INGENIØR,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 090,"Ingeniør, automatisering med robotikk, Haugesund",Haugesund,TEKNO - INGENIØR,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 090,"Ingeniør, automatisering med robotikk, Haugesund",Haugesund,TEKNO - INGENIØR,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 090,"Ingeniør, automatisering med robotikk, Haugesund",Haugesund,TEKNO - INGENIØR,FOR,2020,Hovedopptak,Alle,Alle (0),0,100
HVL,Høgskulen på Vestlandet,203 090,"Ingeniør, automatisering med robotikk, Haugesund",Haugesund,TEKNO - INGENIØR,FOR,2020,Suppleringsopptak,Alle,Alle (0),0,100
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,FOR,2019,Hovedopptak,Alle,Alle (0),0,100
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,FOR,2019,Suppleringsopptak,Alle,Alle (0),0,100
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,FOR,2020,Hovedopptak,Alle,Alle (0),0,100
HVL,Høgskulen på Vestlandet,203 096,"Ingeniør, havteknologi",Bergen,TEKNO - INGENIØR,FOR,2020,Suppleringsopptak,Alle,Alle (0),0,100
HVL,Høgskulen på Vestlandet,203 130,"Barnehagelærer, Bergen",Bergen,LÆRER - BHGLÆRER,ORD,2019,Hovedopptak,33.9,33.9 (26),26,1303
HVL,Høgskulen på Vestlandet,203 130,"Barnehagelærer, Bergen",Bergen,LÆRER - BHGLÆRER,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 130,"Barnehagelærer, Bergen",Bergen,LÆRER - BHGLÆRER,ORD,2020,Hovedopptak,34.1,34.1 (79),79,1303
HVL,Høgskulen på Vestlandet,203 130,"Barnehagelærer, Bergen",Bergen,LÆRER - BHGLÆRER,ORD,2020,Suppleringsopptak,34.1,34.1 (50),50,1303
HVL,Høgskulen på Vestlandet,203 130,"Barnehagelærer, Bergen",Bergen,LÆRER - BHGLÆRER,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 130,"Barnehagelærer, Bergen",Bergen,LÆRER - BHGLÆRER,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 130,"Barnehagelærer, Bergen",Bergen,LÆRER - BHGLÆRER,ORDF,2020,Hovedopptak,31.2,31.2 (33),33,1272
HVL,Høgskulen på Vestlandet,203 130,"Barnehagelærer, Bergen",Bergen,LÆRER - BHGLÆRER,ORDF,2020,Suppleringsopptak,30.5,30.5 (18),18,1272
HVL,Høgskulen på Vestlandet,203 134,"Barnehagelærer, Sogndal, deltid",Sogndal,LÆRER - BHGLÆRER,ORD,2019,Hovedopptak,38.0,38.0 (18),18,1303
HVL,Høgskulen på Vestlandet,203 134,"Barnehagelærer, Sogndal, deltid",Sogndal,LÆRER - BHGLÆRER,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 134,"Barnehagelærer, Sogndal, deltid",Sogndal,LÆRER - BHGLÆRER,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 134,"Barnehagelærer, Sogndal, deltid",Sogndal,LÆRER - BHGLÆRER,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 135,"Barnehagelærer, Stord",Stord,LÆRER - BHGLÆRER,ORD,2019,Hovedopptak,34.9,34.9 (6),6,1303
HVL,Høgskulen på Vestlandet,203 135,"Barnehagelærer, Stord",Stord,LÆRER - BHGLÆRER,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 135,"Barnehagelærer, Stord",Stord,LÆRER - BHGLÆRER,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 135,"Barnehagelærer, Stord",Stord,LÆRER - BHGLÆRER,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 135,"Barnehagelærer, Stord",Stord,LÆRER - BHGLÆRER,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 135,"Barnehagelærer, Stord",Stord,LÆRER - BHGLÆRER,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 135,"Barnehagelærer, Stord",Stord,LÆRER - BHGLÆRER,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 135,"Barnehagelærer, Stord",Stord,LÆRER - BHGLÆRER,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 157,"Faglærer i musikk, Stord",Stord,LÆRER - FAGLÆRER,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 157,"Faglærer i musikk, Stord",Stord,LÆRER - FAGLÆRER,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 157,"Faglærer i musikk, Stord",Stord,LÆRER - FAGLÆRER,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 157,"Faglærer i musikk, Stord",Stord,LÆRER - FAGLÆRER,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 157,"Faglærer i musikk, Stord",Stord,LÆRER - FAGLÆRER,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 157,"Faglærer i musikk, Stord",Stord,LÆRER - FAGLÆRER,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 157,"Faglærer i musikk, Stord",Stord,LÆRER - FAGLÆRER,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 157,"Faglærer i musikk, Stord",Stord,LÆRER - FAGLÆRER,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 170,"Engelsk, Sogndal",Sogndal,SPRÅK,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 170,"Engelsk, Sogndal",Sogndal,SPRÅK,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 170,"Engelsk, Sogndal",Sogndal,SPRÅK,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 170,"Engelsk, Sogndal",Sogndal,SPRÅK,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 170,"Engelsk, Sogndal",Sogndal,SPRÅK,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 170,"Engelsk, Sogndal",Sogndal,SPRÅK,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 170,"Engelsk, Sogndal",Sogndal,SPRÅK,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 170,"Engelsk, Sogndal",Sogndal,SPRÅK,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 179,"Historie, årsstudium",Sogndal,HISTORIE,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 179,"Historie, årsstudium",Sogndal,HISTORIE,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 179,"Historie, årsstudium",Sogndal,HISTORIE,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 179,"Historie, årsstudium",Sogndal,HISTORIE,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 179,"Historie, årsstudium",Sogndal,HISTORIE,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 179,"Historie, årsstudium",Sogndal,HISTORIE,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 179,"Historie, årsstudium",Sogndal,HISTORIE,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 179,"Historie, årsstudium",Sogndal,HISTORIE,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 185,"Idrett, Sogndal",Sogndal,IDRETT,ORD,2019,Hovedopptak,41.0,41.0 (24),24,1303
HVL,Høgskulen på Vestlandet,203 185,"Idrett, Sogndal",Sogndal,IDRETT,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 185,"Idrett, Sogndal",Sogndal,IDRETT,ORD,2020,Hovedopptak,38.1,38.1 (26),26,1303
HVL,Høgskulen på Vestlandet,203 185,"Idrett, Sogndal",Sogndal,IDRETT,ORD,2020,Suppleringsopptak,38.1,38.1 (9),9,1303
HVL,Høgskulen på Vestlandet,203 185,"Idrett, Sogndal",Sogndal,IDRETT,ORDF,2019,Hovedopptak,36.3,36.3 (14),14,1272
HVL,Høgskulen på Vestlandet,203 185,"Idrett, Sogndal",Sogndal,IDRETT,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 185,"Idrett, Sogndal",Sogndal,IDRETT,ORDF,2020,Hovedopptak,39.6,39.6 (21),21,1272
HVL,Høgskulen på Vestlandet,203 185,"Idrett, Sogndal",Sogndal,IDRETT,ORDF,2020,Suppleringsopptak,39.6,39.6 (7),7,1272
HVL,Høgskulen på Vestlandet,203 203,Folkehelsearbeid,Bergen,HELSEFAG - ERNÆRING,ORD,2019,Hovedopptak,48.8,48.8 (158),158,1303
HVL,Høgskulen på Vestlandet,203 203,Folkehelsearbeid,Bergen,HELSEFAG - ERNÆRING,ORD,2019,Suppleringsopptak,46.6,46.6 (71),71,1303
HVL,Høgskulen på Vestlandet,203 203,Folkehelsearbeid,Bergen,HELSEFAG - ERNÆRING,ORD,2020,Hovedopptak,48.3,48.3 (190),190,1303
HVL,Høgskulen på Vestlandet,203 203,Folkehelsearbeid,Bergen,HELSEFAG - ERNÆRING,ORD,2020,Suppleringsopptak,48.3,48.3 (102),102,1303
HVL,Høgskulen på Vestlandet,203 203,Folkehelsearbeid,Bergen,HELSEFAG - ERNÆRING,ORDF,2019,Hovedopptak,40.0,40.0 (52),52,1272
HVL,Høgskulen på Vestlandet,203 203,Folkehelsearbeid,Bergen,HELSEFAG - ERNÆRING,ORDF,2019,Suppleringsopptak,38.5,38.5 (23),23,1272
HVL,Høgskulen på Vestlandet,203 203,Folkehelsearbeid,Bergen,HELSEFAG - ERNÆRING,ORDF,2020,Hovedopptak,43.2,43.2 (86),86,1272
HVL,Høgskulen på Vestlandet,203 203,Folkehelsearbeid,Bergen,HELSEFAG - ERNÆRING,ORDF,2020,Suppleringsopptak,42.1,42.1 (34),34,1272
HVL,Høgskulen på Vestlandet,203 242,"Samfunnsfag, Sogndal",Sogndal,SAMFUNN,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 242,"Samfunnsfag, Sogndal",Sogndal,SAMFUNN,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 242,"Samfunnsfag, Sogndal",Sogndal,SAMFUNN,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 242,"Samfunnsfag, Sogndal",Sogndal,SAMFUNN,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 242,"Samfunnsfag, Sogndal",Sogndal,SAMFUNN,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 242,"Samfunnsfag, Sogndal",Sogndal,SAMFUNN,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 242,"Samfunnsfag, Sogndal",Sogndal,SAMFUNN,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 242,"Samfunnsfag, Sogndal",Sogndal,SAMFUNN,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 246,Jus,Sogndal,JUS,ORD,2019,Hovedopptak,43.3,43.3 (30),30,1303
HVL,Høgskulen på Vestlandet,203 246,Jus,Sogndal,JUS,ORD,2019,Suppleringsopptak,41.5,41.5 (6),6,1303
HVL,Høgskulen på Vestlandet,203 246,Jus,Sogndal,JUS,ORD,2020,Hovedopptak,44.7,44.7 (67),67,1303
HVL,Høgskulen på Vestlandet,203 246,Jus,Sogndal,JUS,ORD,2020,Suppleringsopptak,44.7,44.7 (27),27,1303
HVL,Høgskulen på Vestlandet,203 246,Jus,Sogndal,JUS,ORDF,2019,Hovedopptak,38.8,38.8 (15),15,1272
HVL,Høgskulen på Vestlandet,203 246,Jus,Sogndal,JUS,ORDF,2019,Suppleringsopptak,33.3,33.3 (1),1,1272
HVL,Høgskulen på Vestlandet,203 246,Jus,Sogndal,JUS,ORDF,2020,Hovedopptak,42.5,42.5 (41),41,1272
HVL,Høgskulen på Vestlandet,203 246,Jus,Sogndal,JUS,ORDF,2020,Suppleringsopptak,42.3,42.3 (16),16,1272
HVL,Høgskulen på Vestlandet,203 302,Friluftsliv,Sogndal,IDRETT,ORD,2019,Hovedopptak,47.2,47.2 (49),49,1303
HVL,Høgskulen på Vestlandet,203 302,Friluftsliv,Sogndal,IDRETT,ORD,2019,Suppleringsopptak,44.6,44.6 (18),18,1303
HVL,Høgskulen på Vestlandet,203 302,Friluftsliv,Sogndal,IDRETT,ORD,2020,Hovedopptak,45.1,45.1 (56),56,1303
HVL,Høgskulen på Vestlandet,203 302,Friluftsliv,Sogndal,IDRETT,ORD,2020,Suppleringsopptak,45.1,45.1 (25),25,1303
HVL,Høgskulen på Vestlandet,203 302,Friluftsliv,Sogndal,IDRETT,ORDF,2019,Hovedopptak,38.9,38.9 (24),24,1272
HVL,Høgskulen på Vestlandet,203 302,Friluftsliv,Sogndal,IDRETT,ORDF,2019,Suppleringsopptak,38.8,38.8 (9),9,1272
HVL,Høgskulen på Vestlandet,203 302,Friluftsliv,Sogndal,IDRETT,ORDF,2020,Hovedopptak,42.9,42.9 (28),28,1272
HVL,Høgskulen på Vestlandet,203 302,Friluftsliv,Sogndal,IDRETT,ORDF,2020,Suppleringsopptak,42.9,42.9 (14),14,1272
HVL,Høgskulen på Vestlandet,203 310,Landskapsplanlegging med landskapsarkitektur,Sogndal,SAMFUNN,ORD,2019,Hovedopptak,48.4,48.4 (85),85,1303
HVL,Høgskulen på Vestlandet,203 310,Landskapsplanlegging med landskapsarkitektur,Sogndal,SAMFUNN,ORD,2019,Suppleringsopptak,45.5,45.5 (40),40,1303
HVL,Høgskulen på Vestlandet,203 310,Landskapsplanlegging med landskapsarkitektur,Sogndal,SAMFUNN,ORD,2020,Hovedopptak,46.4,46.4 (67),67,1303
HVL,Høgskulen på Vestlandet,203 310,Landskapsplanlegging med landskapsarkitektur,Sogndal,SAMFUNN,ORD,2020,Suppleringsopptak,46.4,46.4 (36),36,1303
HVL,Høgskulen på Vestlandet,203 310,Landskapsplanlegging med landskapsarkitektur,Sogndal,SAMFUNN,ORDF,2019,Hovedopptak,42.4,42.4 (45),45,1272
HVL,Høgskulen på Vestlandet,203 310,Landskapsplanlegging med landskapsarkitektur,Sogndal,SAMFUNN,ORDF,2019,Suppleringsopptak,39.4,39.4 (17),17,1272
HVL,Høgskulen på Vestlandet,203 310,Landskapsplanlegging med landskapsarkitektur,Sogndal,SAMFUNN,ORDF,2020,Hovedopptak,42.2,42.2 (33),33,1272
HVL,Høgskulen på Vestlandet,203 310,Landskapsplanlegging med landskapsarkitektur,Sogndal,SAMFUNN,ORDF,2020,Suppleringsopptak,41.3,41.3 (23),23,1272
HVL,Høgskulen på Vestlandet,203 317,Natur- og opplevelsesbasert reiseliv,Sogndal,REISELIV,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 317,Natur- og opplevelsesbasert reiseliv,Sogndal,REISELIV,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 317,Natur- og opplevelsesbasert reiseliv,Sogndal,REISELIV,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 317,Natur- og opplevelsesbasert reiseliv,Sogndal,REISELIV,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 317,Natur- og opplevelsesbasert reiseliv,Sogndal,REISELIV,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 317,Natur- og opplevelsesbasert reiseliv,Sogndal,REISELIV,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 317,Natur- og opplevelsesbasert reiseliv,Sogndal,REISELIV,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 317,Natur- og opplevelsesbasert reiseliv,Sogndal,REISELIV,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
HVL,Høgskulen på Vestlandet,203 330,Reiselivsledelse,Sogndal,REISELIV,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 330,Reiselivsledelse,Sogndal,REISELIV,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 330,Reiselivsledelse,Sogndal,REISELIV,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
HVL,Høgskulen på Vestlandet,203 330,Reiselivsledelse,Sogndal,REISELIV,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
