Lærested,Lærestedsnavn ,Studiekode,Studienavn,Studiested,Utdanningsområde- og type,Kvote,År,Opptaksfase,Poenggrense,Poenggrense + venteliste,Antall på venteliste,Antall studier per kvote i år
AHS,Ansgar høyskole,255 196,"Kristendom, religion, livssyn og etikk",Kristiansand,HISTORIE,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 437,Musikkteknologi,Kristiansand,ESTETISK,ORD,2019,Hovedopptak,41.1,41.1 (8),8,1303
AHS,Ansgar høyskole,255 437,Musikkteknologi,Kristiansand,ESTETISK,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 437,Musikkteknologi,Kristiansand,ESTETISK,ORD,2020,Hovedopptak,45.7,45.7 (14),14,1303
AHS,Ansgar høyskole,255 437,Musikkteknologi,Kristiansand,ESTETISK,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 437,Musikkteknologi,Kristiansand,ESTETISK,ORDF,2019,Hovedopptak,33.2,33.2 (1),1,1272
AHS,Ansgar høyskole,255 437,Musikkteknologi,Kristiansand,ESTETISK,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 437,Musikkteknologi,Kristiansand,ESTETISK,ORDF,2020,Hovedopptak,33.8,33.8 (3),3,1272
AHS,Ansgar høyskole,255 437,Musikkteknologi,Kristiansand,ESTETISK,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 480,Teologi ,Kristiansand,HISTORIE,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 480,Teologi ,Kristiansand,HISTORIE,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 480,Teologi ,Kristiansand,HISTORIE,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 480,Teologi ,Kristiansand,HISTORIE,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 480,Teologi ,Kristiansand,HISTORIE,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 480,Teologi ,Kristiansand,HISTORIE,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 480,Teologi ,Kristiansand,HISTORIE,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 480,Teologi ,Kristiansand,HISTORIE,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 536,"Praktisk teologi, deltid",Kristiansand,HISTORIE,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 536,"Praktisk teologi, deltid",Kristiansand,HISTORIE,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 536,"Praktisk teologi, deltid",Kristiansand,HISTORIE,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 536,"Praktisk teologi, deltid",Kristiansand,HISTORIE,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 752,"Psykologi, årsstudium",Kristiansand,SAMFUNN,ORD,2019,Hovedopptak,51.7,51.7 (207),207,1303
AHS,Ansgar høyskole,255 752,"Psykologi, årsstudium",Kristiansand,SAMFUNN,ORD,2019,Suppleringsopptak,49.2,49.2 (81),81,1303
AHS,Ansgar høyskole,255 752,"Psykologi, årsstudium",Kristiansand,SAMFUNN,ORD,2020,Hovedopptak,53.9,53.9 (326),326,1303
AHS,Ansgar høyskole,255 752,"Psykologi, årsstudium",Kristiansand,SAMFUNN,ORD,2020,Suppleringsopptak,47.6,47.6 (97),97,1303
AHS,Ansgar høyskole,255 752,"Psykologi, årsstudium",Kristiansand,SAMFUNN,ORDF,2019,Hovedopptak,50.0,50.0 (101),101,1272
AHS,Ansgar høyskole,255 752,"Psykologi, årsstudium",Kristiansand,SAMFUNN,ORDF,2019,Suppleringsopptak,45.4,45.4 (39),39,1272
AHS,Ansgar høyskole,255 752,"Psykologi, årsstudium",Kristiansand,SAMFUNN,ORDF,2020,Hovedopptak,49.3,49.3 (195),195,1272
AHS,Ansgar høyskole,255 752,"Psykologi, årsstudium",Kristiansand,SAMFUNN,ORDF,2020,Suppleringsopptak,46.2,46.2 (60),60,1272
AHS,Ansgar høyskole,255 777,Musikk,Kristiansand,ESTETISK,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 777,Musikk,Kristiansand,ESTETISK,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 777,Musikk,Kristiansand,ESTETISK,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 777,Musikk,Kristiansand,ESTETISK,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 777,Musikk,Kristiansand,ESTETISK,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 777,Musikk,Kristiansand,ESTETISK,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 777,Musikk,Kristiansand,ESTETISK,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 777,Musikk,Kristiansand,ESTETISK,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
